latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.90158,116.045456,990.0,28800,Asia/Shanghai,GMT+8

time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),shortwave_radiation (W/m²),diffuse_radiation (W/m²)
2022-01-01T00:00,-7.6,44,20.1,0.0,0.0
2022-01-01T01:00,-7.8,45,17.9,0.0,0.0
2022-01-01T02:00,-8.1,47,14.4,0.0,0.0
2022-01-01T03:00,-8.8,50,12.1,0.0,0.0
2022-01-01T04:00,-8.4,50,13.9,0.0,0.0
2022-01-01T05:00,-8.3,51,15.2,0.0,0.0
2022-01-01T06:00,-9.7,57,14.8,0.0,0.0
2022-01-01T07:00,-10.6,63,16.3,0.0,0.0
2022-01-01T08:00,-11.4,68,17.8,0.0,0.0
2022-01-01T09:00,-12.5,60,25.4,37.0,33.0
2022-01-01T10:00,-13.0,53,22.1,99.0,90.0
2022-01-01T11:00,-12.4,48,23.5,278.0,116.0
2022-01-01T12:00,-11.6,43,21.6,380.0,98.0
2022-01-01T13:00,-10.8,40,21.2,394.0,107.0
2022-01-01T14:00,-10.3,39,22.8,363.0,93.0
2022-01-01T15:00,-10.3,40,24.1,275.0,79.0
2022-01-01T16:00,-10.8,40,20.8,138.0,65.0
2022-01-01T17:00,-12.5,44,16.8,25.0,14.0
2022-01-01T18:00,-13.6,48,16.6,0.0,0.0
2022-01-01T19:00,-14.3,50,16.0,0.0,0.0
2022-01-01T20:00,-15.8,61,13.7,0.0,0.0
2022-01-01T21:00,-16.2,62,13.0,0.0,0.0
2022-01-01T22:00,-16.6,64,13.6,0.0,0.0
2022-01-01T23:00,-16.8,64,14.5,0.0,0.0
2022-01-02T00:00,-16.9,63,13.4,0.0,0.0
2022-01-02T01:00,-17.0,64,14.6,0.0,0.0
2022-01-02T02:00,-16.9,66,13.4,0.0,0.0
2022-01-02T03:00,-16.9,68,12.7,0.0,0.0
2022-01-02T04:00,-17.0,72,12.0,0.0,0.0
2022-01-02T05:00,-17.1,74,13.9,0.0,0.0
2022-01-02T06:00,-17.2,75,14.7,0.0,0.0
2022-01-02T07:00,-17.4,75,13.8,0.0,0.0
2022-01-02T08:00,-18.3,78,13.2,0.0,0.0
2022-01-02T09:00,-17.1,74,17.1,64.0,28.0
2022-01-02T10:00,-15.2,65,15.1,202.0,61.0
2022-01-02T11:00,-13.3,60,16.9,320.0,77.0
2022-01-02T12:00,-11.6,54,18.7,392.0,85.0
2022-01-02T13:00,-10.4,49,18.7,409.0,86.0
2022-01-02T14:00,-9.7,45,18.2,371.0,82.0
2022-01-02T15:00,-9.4,43,16.6,280.0,75.0
2022-01-02T16:00,-10.1,46,12.6,147.0,59.0
2022-01-02T17:00,-12.2,53,9.2,24.0,15.0
2022-01-02T18:00,-12.8,55,8.4,0.0,0.0
2022-01-02T19:00,-13.4,55,8.7,0.0,0.0
2022-01-02T20:00,-15.6,64,10.2,0.0,0.0
2022-01-02T21:00,-15.0,60,9.7,0.0,0.0
2022-01-02T22:00,-15.6,63,9.0,0.0,0.0
2022-01-02T23:00,-16.0,67,9.0,0.0,0.0
2022-01-03T00:00,-16.2,69,8.8,0.0,0.0
2022-01-03T01:00,-16.9,70,8.3,0.0,0.0
2022-01-03T02:00,-17.4,72,8.6,0.0,0.0
2022-01-03T03:00,-17.9,73,8.6,0.0,0.0
2022-01-03T04:00,-18.3,74,8.3,0.0,0.0
2022-01-03T05:00,-18.2,73,7.9,0.0,0.0
2022-01-03T06:00,-18.3,71,8.0,0.0,0.0
2022-01-03T07:00,-18.3,69,8.6,0.0,0.0
2022-01-03T08:00,-19.7,73,9.0,0.0,0.0
2022-01-03T09:00,-17.5,65,13.7,63.0,27.0
2022-01-03T10:00,-15.2,53,12.6,201.0,59.0
2022-01-03T11:00,-13.1,44,13.2,320.0,73.0
2022-01-03T12:00,-11.3,38,13.1,394.0,80.0
2022-01-03T13:00,-10.1,35,13.7,413.0,82.0
2022-01-03T14:00,-9.5,34,15.2,375.0,78.0
2022-01-03T15:00,-9.3,33,15.7,284.0,69.0
2022-01-03T16:00,-10.4,39,13.2,155.0,52.0
2022-01-03T17:00,-12.7,48,13.2,28.0,14.0
2022-01-03T18:00,-13.8,51,14.1,0.0,0.0
2022-01-03T19:00,-14.5,52,12.2,0.0,0.0
2022-01-03T20:00,-16.5,62,9.2,0.0,0.0
2022-01-03T21:00,-16.5,61,9.4,0.0,0.0
2022-01-03T22:00,-16.7,61,9.7,0.0,0.0
2022-01-03T23:00,-16.8,63,9.7,0.0,0.0
2022-01-04T00:00,-16.9,64,9.7,0.0,0.0
2022-01-04T01:00,-17.1,65,9.2,0.0,0.0
2022-01-04T02:00,-17.5,67,7.9,0.0,0.0
2022-01-04T03:00,-17.9,68,8.3,0.0,0.0
2022-01-04T04:00,-18.4,68,9.8,0.0,0.0
2022-01-04T05:00,-18.9,69,10.5,0.0,0.0
2022-01-04T06:00,-19.0,69,10.4,0.0,0.0
2022-01-04T07:00,-19.1,69,10.1,0.0,0.0
2022-01-04T08:00,-20.0,72,11.2,0.0,0.0
2022-01-04T09:00,-16.8,62,5.4,62.0,27.0
2022-01-04T10:00,-14.1,50,5.6,200.0,59.0
2022-01-04T11:00,-11.3,41,5.1,319.0,73.0
2022-01-04T12:00,-8.7,36,8.5,394.0,81.0
2022-01-04T13:00,-7.3,36,12.5,413.0,82.0
2022-01-04T14:00,-7.0,36,14.2,376.0,79.0
2022-01-04T15:00,-7.4,39,14.6,286.0,70.0
2022-01-04T16:00,-8.6,44,11.3,157.0,52.0
2022-01-04T17:00,-11.6,55,9.0,29.0,14.0
2022-01-04T18:00,-12.8,59,9.2,0.0,0.0
2022-01-04T19:00,-13.7,61,8.9,0.0,0.0
2022-01-04T20:00,-15.2,67,10.5,0.0,0.0
2022-01-04T21:00,-15.0,66,8.7,0.0,0.0
2022-01-04T22:00,-15.2,67,8.7,0.0,0.0
2022-01-04T23:00,-15.3,68,8.7,0.0,0.0
2022-01-05T00:00,-15.5,69,8.7,0.0,0.0
2022-01-05T01:00,-15.7,70,8.4,0.0,0.0
2022-01-05T02:00,-16.0,71,8.1,0.0,0.0
2022-01-05T03:00,-16.0,72,8.1,0.0,0.0
2022-01-05T04:00,-16.1,72,8.4,0.0,0.0
