latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.90158,116.045456,990.0,28800,Asia/Shanghai,GMT+8

time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),shortwave_radiation (W/m²),diffuse_radiation (W/m²)
2024-01-01T00:00,-9.0,68,16.8,0.0,0.0
2024-01-01T01:00,-8.9,68,17.3,0.0,0.0
2024-01-01T02:00,-9.1,69,15.6,0.0,0.0
2024-01-01T03:00,-8.9,70,12.9,0.0,0.0
2024-01-01T04:00,-9.0,72,12.0,0.0,0.0
2024-01-01T05:00,-9.5,74,14.0,0.0,0.0
2024-01-01T06:00,-9.1,75,19.6,0.0,0.0
2024-01-01T07:00,-9.1,76,17.6,0.0,0.0
2024-01-01T08:00,-9.8,78,13.7,0.0,0.0
2024-01-01T09:00,-10.0,82,15.8,53.0,34.0
2024-01-01T10:00,-8.4,81,20.6,146.0,103.0
2024-01-01T11:00,-7.8,81,23.8,211.0,174.0
2024-01-01T12:00,-7.2,80,22.4,276.0,217.0
2024-01-01T13:00,-6.8,80,21.2,281.0,231.0
2024-01-01T14:00,-6.5,80,19.2,258.0,203.0
2024-01-01T15:00,-6.4,81,16.1,208.0,144.0
2024-01-01T16:00,-7.1,82,10.7,107.0,84.0
2024-01-01T17:00,-10.0,85,9.4,21.0,15.0
2024-01-01T18:00,-11.7,86,11.8,0.0,0.0
2024-01-01T19:00,-11.7,85,10.3,0.0,0.0
2024-01-01T20:00,-13.5,87,10.4,0.0,0.0
2024-01-01T21:00,-17.0,91,13.2,0.0,0.0
2024-01-01T22:00,-16.8,90,11.6,0.0,0.0
2024-01-01T23:00,-16.5,89,10.2,0.0,0.0
2024-01-02T00:00,-15.8,89,9.0,0.0,0.0
2024-01-02T01:00,-15.3,88,8.7,0.0,0.0
2024-01-02T02:00,-15.1,88,9.6,0.0,0.0
2024-01-02T03:00,-14.1,88,8.3,0.0,0.0
2024-01-02T04:00,-14.5,87,9.7,0.0,0.0
2024-01-02T05:00,-15.2,88,10.7,0.0,0.0
2024-01-02T06:00,-15.3,87,9.8,0.0,0.0
2024-01-02T07:00,-13.5,85,9.3,0.0,0.0
2024-01-02T08:00,-12.1,85,12.0,0.0,0.0
2024-01-02T09:00,-11.7,85,18.6,31.0,30.0
2024-01-02T10:00,-11.3,84,20.5,114.0,107.0
2024-01-02T11:00,-11.0,82,19.4,212.0,164.0
2024-01-02T12:00,-10.5,81,19.5,265.0,210.0
2024-01-02T13:00,-10.0,80,19.6,282.0,225.0
2024-01-02T14:00,-9.8,78,19.8,245.0,200.0
2024-01-02T15:00,-9.9,77,19.9,156.0,146.0
2024-01-02T16:00,-10.3,78,19.1,85.0,81.0
2024-01-02T17:00,-10.8,79,16.4,15.0,15.0
2024-01-02T18:00,-11.5,78,13.0,0.0,0.0
2024-01-02T19:00,-12.8,79,9.8,0.0,0.0
2024-01-02T20:00,-13.7,78,9.6,0.0,0.0
2024-01-02T21:00,-15.2,78,12.1,0.0,0.0
2024-01-02T22:00,-15.8,78,10.4,0.0,0.0
2024-01-02T23:00,-16.7,79,10.5,0.0,0.0
2024-01-03T00:00,-16.6,78,11.8,0.0,0.0
2024-01-03T01:00,-16.5,78,13.2,0.0,0.0
2024-01-03T02:00,-16.5,78,14.4,0.0,0.0
2024-01-03T03:00,-16.6,77,15.0,0.0,0.0
2024-01-03T04:00,-16.6,78,16.7,0.0,0.0
2024-01-03T05:00,-16.6,78,17.9,0.0,0.0
2024-01-03T06:00,-16.6,78,17.1,0.0,0.0
2024-01-03T07:00,-16.6,78,13.8,0.0,0.0
2024-01-03T08:00,-16.4,78,14.4,0.0,0.0
2024-01-03T09:00,-15.8,78,15.6,60.0,29.0
2024-01-03T10:00,-13.6,75,14.8,201.0,60.0
2024-01-03T11:00,-11.4,72,13.7,321.0,76.0
2024-01-03T12:00,-9.4,69,15.8,394.0,83.0
2024-01-03T13:00,-7.6,67,17.9,412.0,85.0
2024-01-03T14:00,-6.3,66,17.4,353.0,113.0
2024-01-03T15:00,-5.6,63,24.2,233.0,132.0
2024-01-03T16:00,-5.3,61,20.2,109.0,87.0
2024-01-03T17:00,-5.5,60,19.4,20.0,17.0
2024-01-03T18:00,-5.0,59,21.2,0.0,0.0
2024-01-03T19:00,-4.8,60,24.1,0.0,0.0
2024-01-03T20:00,-5.3,61,23.0,0.0,0.0
2024-01-03T21:00,-6.2,66,21.4,0.0,0.0
2024-01-03T22:00,-6.6,67,23.3,0.0,0.0
2024-01-03T23:00,-6.7,67,25.1,0.0,0.0
2024-01-04T00:00,-6.8,68,26.9,0.0,0.0
2024-01-04T01:00,-6.9,68,27.6,0.0,0.0
2024-01-04T02:00,-7.0,68,27.5,0.0,0.0
2024-01-04T03:00,-7.2,68,26.5,0.0,0.0
2024-01-04T04:00,-7.2,69,27.9,0.0,0.0
2024-01-04T05:00,-7.0,70,30.6,0.0,0.0
2024-01-04T06:00,-6.9,72,28.7,0.0,0.0
2024-01-04T07:00,-7.5,73,27.0,0.0,0.0
2024-01-04T08:00,-8.3,74,25.9,0.0,0.0
2024-01-04T09:00,-8.7,72,28.1,63.0,27.0
2024-01-04T10:00,-7.9,71,31.9,200.0,58.0
2024-01-04T11:00,-7.2,69,30.4,301.0,94.0
2024-01-04T12:00,-7.0,70,39.2,225.0,178.0
2024-01-04T13:00,-6.9,70,38.6,283.0,211.0
2024-01-04T14:00,-6.8,72,34.5,189.0,161.0
2024-01-04T15:00,-7.0,69,28.8,116.0,112.0
2024-01-04T16:00,-8.0,70,25.8,99.0,77.0
2024-01-04T17:00,-9.4,71,20.6,22.0,15.0
2024-01-04T18:00,-10.8,72,17.4,0.0,0.0
2024-01-04T19:00,-11.8,73,14.7,0.0,0.0
2024-01-04T20:00,-12.7,75,11.6,0.0,0.0
2024-01-04T21:00,-16.3,78,10.6,0.0,0.0
2024-01-04T22:00,-15.5,77,10.6,0.0,0.0
2024-01-04T23:00,-14.6,77,12.5,0.0,0.0
2024-01-05T00:00,-14.1,77,12.9,0.0,0.0
2024-01-05T01:00,-14.4,78,10.5,0.0,0.0
2024-01-05T02:00,-15.5,80,9.8,0.0,0.0
2024-01-05T03:00,-15.7,82,11.0,0.0,0.0
2024-01-05T04:00,-15.4,83,10.3,0.0,0.0
